Agency,Service
311 Customer Service Center,APPLICATION AUTHENTICATION AND AUTHORIZATION
311 Customer Service Center,BUSINESS ANALYSIS
311 Customer Service Center,BUSINESS APPLICATION DEVELOPMENT 
311 Customer Service Center,BUSINESS-AS-USUAL (ANALYTICS)
311 Customer Service Center,HUMAN CENTERED DESIGN
311 Customer Service Center,MAPPING/LOCATION SERVICES
311 Customer Service Center,MOBILE DEVELOPMENT 
311 Customer Service Center,PROJECT MANAGEMENT 
311 Customer Service Center,PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
311 Customer Service Center,SOLUTION DEVELOPMENT (ANALYTICS)
311 Customer Service Center,SOLUTION DEVELOPMENT (CRM)
311 Customer Service Center,WEBSITE DESIGN BUILD AND MAINTENANCE  
311 Customer Service Center,NYC.GOV
311 Customer Service Center,WEB SINGLE SIGN-ON
311 Customer Service Center,IDENTITY MANAGEMENT 
311 Customer Service Center,NYC.ID/IDENTITY MANAGEMENT 
311 Customer Service Center,PASSWORD SELF-SERVICE
311 Customer Service Center,SITE-TO-SITE VPN
311 Customer Service Center,SOFTWARE SECURITY ASSURANCE
311 Customer Service Center,SSL REMOTE ACCESS
311 Customer Service Center,CDWG - IT GOODS AND RELATED SERVICES 
311 Customer Service Center,CISCO MAINTENANCE CONTRACT
311 Customer Service Center,CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
311 Customer Service Center,SYSTEMS INTEGRATION SERVICES (SI)
311 Customer Service Center,DATA EXCHANGE
311 Customer Service Center,APPLICATION SUPPORT
311 Customer Service Center,SERVICE DESK
311 Customer Service Center,DESKTOP SUPPORT
311 Customer Service Center,PRIMARY DATA CENTER
311 Customer Service Center,EMAIL
311 Customer Service Center,PROVISIONING
311 Customer Service Center,MAINFRAME
311 Customer Service Center,LYNC 2013
311 Customer Service Center,SHAREPOINT
311 Customer Service Center,SITEB SERVICES
311 Customer Service Center,SITE B (STERLING FOREST) MAINFRAME
311 Customer Service Center,WORKSHOPS
311 Customer Service Center,CABLE INFRASTRUCTURE
311 Customer Service Center,CITYNET
311 Customer Service Center,NETWORK LAN SUPPORT
311 Customer Service Center,ADVISORY SERVICES 
311 Customer Service Center,CLOUD REVIEW
311 Customer Service Center,USER EXPERIENCE DESIGN
311 Customer Service Center,ADOBE ETLA
311 Customer Service Center,MICROSOFT ELA
311 Customer Service Center,MOBILE DEVICES AND SERVICES
311 Customer Service Center,FUNCTIONAL TESTING
"Administrative Trials And Hearings, Office of",BUSINESS ANALYSIS
"Administrative Trials And Hearings, Office of",BUSINESS APPLICATION DEVELOPMENT 
"Administrative Trials And Hearings, Office of",BUSINESS-AS-USUAL (ANALYTICS)
"Administrative Trials And Hearings, Office of",PROJECT MANAGEMENT 
"Administrative Trials And Hearings, Office of",SOLUTION DEVELOPMENT (ANALYTICS)
"Administrative Trials And Hearings, Office of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Administrative Trials And Hearings, Office of",NYC.GOV
"Administrative Trials And Hearings, Office of",IDENTITY MANAGEMENT 
"Administrative Trials And Hearings, Office of",PASSWORD SELF-SERVICE
"Administrative Trials And Hearings, Office of",SITE-TO-SITE VPN
"Administrative Trials And Hearings, Office of",SOFTWARE SECURITY ASSURANCE
"Administrative Trials And Hearings, Office of",SSL REMOTE ACCESS
"Administrative Trials And Hearings, Office of",CISCO MAINTENANCE CONTRACT
