cio,agency
Joseph Morrisroe,311
Beltrao Baptista,OOA
Joseph Hughes,OATH
Sal Rullan,DFTA
Christopher McShane,BXBP
David Johnson,BBP
Bruce Berkow,MBP
Aldo Grillo,QBPL
Robert McFeeley,SIBP
Jeffrey Sandgrund,BBPDC
Leena Panchwagh,DOB
Michael Del Pino,BIC
Kenneth O'Brien,CFB
Jeffrey Minnier,ACS
Irfan Rivera,OCC
Christopher Lall,CPC
Hassan Adekoya,DCP
Nitin Patel,DCAS
Joan Richards,CCSC
Carl Esposito,CCRB
Alex Menkin,OCB
Michael Bott,COMP
Derick Yu,COIB
Anup Tiwari,DCA
Jim Bennett,BOC
Maureen Danko,DOC
Richard Ware,CJA
Daniel Contafio,DCLA
Anuraag Sharma,DDC
Raymond Vazquez,DABX
William Power,KCDA
Mary Barnett,DANY
Susan Mazzella,DAQC
Joseph DiCaro,RCDA
Chetan Badiani,NYCEDC
Daniel Miller,BERS
Peter Quinn,DOE
Steve Ferguson,BOENY
Cecil McMaster,DEP
Charise Terry,EEPC
Nicole Halsey,FJC
Eusebio Formoso,DOF
Benny Thottam,FDNY
Patricia Kiernan,TGI
Jian Liu,DOHMH
Sal Guido,H+H
Robert Marano,NYCHA
Madhavi Kulkarni,HDC
Anthony Thomas,HPD
Stacey Blissett-Saavedra,CCHR
Anne Roest,DOITT
Ganesh Ramratan,DOI
Michael Borushek,OLR
Rajan Singh,LPC
James Higgins,OMB
Richard Lundy,MOCS
Colin Reilly,MOCJ
Paul Cackler,HRO
Terence ODriscoll,MOME
Miguel Gamiño,MOTI
Mark Azeem,OTM
Naeem Ullah,OCME
Sidney Gellineau,MTA
Henry Jackson,NYCEM
James Greenan,DPR
Rose-Ellen Myers,FISA -OPA
Joseph Scalia,NYPD
Barry Abrams,DOP
Joy Thompson,PANY
Praveen Panchal,DORIS
Edmund Lee,DSNY
Emanuele Innamorato,SCA
Stephen Fisher,SBS
Ricardo Browne,DSS/DHS
Ricardo Browne,DSS/HRA
Joe Cullen,SNP
Carlo Costanza,BSA
Jeffrey Grunfeld,TLC
Annette Hanrahan,BXD
Cordell Schachter,DOT
Venkat Motupalli,DVS
Michael Deutsch,DYCD
